PROJ,PROJ Description
esri:102006,Alaska Albers Equal Area Conic
esri:102007,Hawaii Albers Equal Area Conic
esri:102121,NAD 1983 Michigan GeoRef Feet US
esri:102123,NAD 1983 Michigan GeoRef Meters
esri:102229,NAD 1983 HARN StatePlane Alabama East FIPS 0101
esri:102230,NAD 1983 HARN StatePlane Alabama West FIPS 0102
esri:102241,NAD 1983 HARN StatePlane California I FIPS 0401
esri:102242,NAD 1983 HARN StatePlane California II FIPS 0402
esri:102243,NAD 1983 HARN StatePlane California III FIPS 0403
esri:102244,NAD 1983 HARN StatePlane California IV FIPS 0404
esri:102245,NAD 1983 HARN StatePlane California V FIPS 0405
esri:102246,NAD 1983 HARN StatePlane California VI FIPS 0406
esri:102248,NAD 1983 HARN StatePlane Arizona East FIPS 0201
esri:102249,NAD 1983 HARN StatePlane Arizona Central FIPS 0202
esri:102250,NAD 1983 HARN StatePlane Arizona West FIPS 0203
esri:102251,NAD 1983 HARN StatePlane Arkansas North FIPS 0301
esri:102252,NAD 1983 HARN StatePlane Arkansas South FIPS 0302
esri:102253,NAD 1983 HARN StatePlane Colorado North FIPS 0501
esri:102254,NAD 1983 HARN StatePlane Colorado Central FIPS 0502
esri:102255,NAD 1983 HARN StatePlane Colorado South FIPS 0503
esri:102256,NAD 1983 HARN StatePlane Connecticut FIPS 0600
esri:102257,NAD 1983 HARN StatePlane Delaware FIPS 0700
esri:102258,NAD 1983 HARN StatePlane Florida East FIPS 0901
esri:102259,NAD 1983 HARN StatePlane Florida West FIPS 0902
esri:102260,NAD 1983 HARN StatePlane Florida North FIPS 0903
esri:102261,NAD 1983 HARN StatePlane Hawaii 1 FIPS 5101
esri:102262,NAD 1983 HARN StatePlane Hawaii 2 FIPS 5102
esri:102263,NAD 1983 HARN StatePlane Hawaii 3 FIPS 5103
esri:102264,NAD 1983 HARN StatePlane Hawaii 4 FIPS 5104
esri:102265,NAD 1983 HARN StatePlane Hawaii 5 FIPS 5105
esri:102266,NAD 1983 HARN StatePlane Georgia East FIPS 1001
esri:102267,NAD 1983 HARN StatePlane Georgia West FIPS 1002
esri:102268,NAD 1983 HARN StatePlane Idaho East FIPS 1101
esri:102269,NAD 1983 HARN StatePlane Idaho Central FIPS 1102
esri:102270,NAD 1983 HARN StatePlane Idaho West FIPS 1103
esri:102271,NAD 1983 HARN StatePlane Illinois East FIPS 1201
esri:102272,NAD 1983 HARN StatePlane Illinois West FIPS 1202
esri:102273,NAD 1983 HARN StatePlane Indiana East FIPS 1301
esri:102274,NAD 1983 HARN StatePlane Indiana West FIPS 1302
esri:102277,NAD 1983 HARN StatePlane Kansas North FIPS 1501
esri:102278,NAD 1983 HARN StatePlane Kansas South FIPS 1502
esri:102279,NAD 1983 HARN StatePlane Kentucky North FIPS 1601
esri:102280,NAD 1983 HARN StatePlane Kentucky South FIPS 1602
esri:102281,NAD 1983 HARN StatePlane Louisiana North FIPS 1701
esri:102282,NAD 1983 HARN StatePlane Louisiana South FIPS 1702
esri:102283,NAD 1983 HARN StatePlane Maine East FIPS 1801
esri:102284,NAD 1983 HARN StatePlane Maine West FIPS 1802
esri:102285,NAD 1983 HARN StatePlane Maryland FIPS 1900
esri:102286,NAD 1983 HARN StatePlane Massachusetts Mainland FIPS 2001
esri:102287,NAD 1983 HARN StatePlane Massachusetts Island FIPS 2002
esri:102288,NAD 1983 HARN StatePlane Michigan North FIPS 2111
esri:102289,NAD 1983 HARN StatePlane Michigan Central FIPS 2112
esri:102290,NAD 1983 HARN StatePlane Michigan South FIPS 2113
esri:102291,NAD 1983 HARN StatePlane Minnesota North FIPS 2201
esri:102292,NAD 1983 HARN StatePlane Minnesota Central FIPS 2202
esri:102293,NAD 1983 HARN StatePlane Minnesota South FIPS 2203
esri:102294,NAD 1983 HARN StatePlane Mississippi East FIPS 2301
esri:102295,NAD 1983 HARN StatePlane Mississippi West FIPS 2302
esri:102296,NAD 1983 HARN StatePlane Missouri East FIPS 2401
esri:102297,NAD 1983 HARN StatePlane Missouri Central FIPS 2402
esri:102298,NAD 1983 HARN StatePlane Missouri West FIPS 2403
esri:102300,NAD 1983 HARN StatePlane Montana FIPS 2500
esri:102304,NAD 1983 HARN StatePlane Nebraska FIPS 2600
esri:102307,NAD 1983 HARN StatePlane Nevada East FIPS 2701
esri:102308,NAD 1983 HARN StatePlane Nevada Central FIPS 2702
esri:102309,NAD 1983 HARN StatePlane Nevada West FIPS 2703
esri:102310,NAD 1983 HARN StatePlane New Hampshire FIPS 2800
esri:102311,NAD 1983 HARN StatePlane New Jersey FIPS 2900
esri:102312,NAD 1983 HARN StatePlane New Mexico East FIPS 3001
esri:102313,NAD 1983 HARN StatePlane New Mexico Central FIPS 3002
esri:102314,NAD 1983 HARN StatePlane New Mexico West FIPS 3003
esri:102315,NAD 1983 HARN StatePlane New York East FIPS 3101
esri:102316,NAD 1983 HARN StatePlane New York Central FIPS 3102
esri:102317,NAD 1983 HARN StatePlane New York West FIPS 3103
esri:102318,NAD 1983 HARN StatePlane New York Long Island FIPS 3104
esri:102320,NAD 1983 HARN StatePlane North Dakota North FIPS 3301
esri:102321,NAD 1983 HARN StatePlane North Dakota South FIPS 3302
esri:102322,NAD 1983 HARN StatePlane Ohio North FIPS 3401
esri:102323,NAD 1983 HARN StatePlane Ohio South FIPS 3402
esri:102324,NAD 1983 HARN StatePlane Oklahoma North FIPS 3501
esri:102325,NAD 1983 HARN StatePlane Oklahoma South FIPS 3502
esri:102326,NAD 1983 HARN StatePlane Oregon North FIPS 3601
esri:102327,NAD 1983 HARN StatePlane Oregon South FIPS 3602
esri:102330,NAD 1983 HARN StatePlane Rhode Island FIPS 3800
esri:102334,NAD 1983 HARN StatePlane South Dakota North FIPS 4001
esri:102335,NAD 1983 HARN StatePlane South Dakota South FIPS 4002
esri:102336,NAD 1983 HARN StatePlane Tennessee FIPS 4100
esri:102337,NAD 1983 HARN StatePlane Texas North FIPS 4201
esri:102338,NAD 1983 HARN StatePlane Texas North Central FIPS 4202
esri:102339,NAD 1983 HARN StatePlane Texas Central FIPS 4203
esri:102340,NAD 1983 HARN StatePlane Texas South Central FIPS 4204
